# GASP-derived aerodynamics data converted from GASP_aero_ground.txt
# Incremental Lift and Drag Coeff. for Ground Effects
# Reference Area = 1370. sqft / Flap Deflection = 10 deg (T.O. Setting)

Mach, Angle of Attack (deg),        Hob,   Delta CL,   Delta CD
 0.2,                  16.0,        0.4,    0.06973,   -0.00808
 0.2,                  16.0,        0.5,     0.0466,   -0.00529
 0.2,                  16.0,        0.6,     0.0312,   -0.00365
 0.2,                  16.0,        0.8,    0.01385,   -0.00196
 0.2,                  16.0,        1.0,    0.00582,   -0.00118
 0.2,                  16.0,        1.5,        0.0,   -0.00042
 0.2,                  16.0,        2.0,        0.0,    -0.0001
 0.2,                  16.0,        3.0,        0.0,       -0.0
 0.2,                  18.0,       0.05,      0.127,    -0.1039
 0.2,                  18.0,        0.1,      0.127,   -0.07147
 0.2,                  18.0,        0.2,      0.127,   -0.03443
 0.2,                  18.0,        0.3,    0.11197,    -0.0163
 0.2,                  18.0,        0.4,    0.07477,   -0.00994
 0.2,                  18.0,        0.5,     0.0499,   -0.00652
 0.2,                  18.0,        0.6,    0.03329,   -0.00452
 0.2,                  18.0,        0.8,    0.01455,   -0.00245
 0.2,                  18.0,        1.0,    0.00589,   -0.00149
 0.2,                  18.0,        1.5,        0.0,   -0.00051
 0.2,                  18.0,        2.0,        0.0,   -0.00011
 0.2,                  18.0,        3.0,        0.0,       -0.0
 0.3,                  -2.0,       0.05,   -0.02873,    -0.0018
 0.3,                  -2.0,        0.1,   -0.01849,   -0.00137
 0.3,                  -2.0,        0.2,   -0.01077,   -0.00086
 0.3,                  -2.0,        0.3,   -0.00684,   -0.00056
 0.3,                  -2.0,        0.4,    -0.0045,   -0.00038
 0.3,                  -2.0,        0.5,   -0.00303,   -0.00026
 0.3,                  -2.0,        0.6,   -0.00208,   -0.00018
 0.3,                  -2.0,        0.8,   -0.00101,     -9e-05
 0.3,                  -2.0,        1.0,   -0.00051,     -5e-05
 0.3,                  -2.0,        1.5,    -0.0001,     -1e-05
 0.3,                  -2.0,        2.0,     -2e-05,       -0.0
 0.3,                  -2.0,        3.0,        0.0,       -0.0
 0.3,                   0.0,       0.05,     0.0401,   -0.00442
 0.3,                   0.0,        0.1,    0.02638,   -0.00316
 0.3,                   0.0,        0.2,     0.0156,    -0.0018
 0.3,                   0.0,        0.3,    0.00994,   -0.00111
 0.3,                   0.0,        0.4,    0.00655,   -0.00072
 0.3,                   0.0,        0.5,    0.00441,   -0.00048
 0.3,                   0.0,        0.6,    0.00302,   -0.00033
 0.3,                   0.0,        0.8,    0.00146,   -0.00016
 0.3,                   0.0,        1.0,    0.00072,     -8e-05
 0.3,                   0.0,        1.5,    0.00013,     -2e-05
 0.3,                   0.0,        2.0,      1e-05,     -1e-05
 0.3,                   0.0,        3.0,        0.0,       -0.0
 0.3,                   2.0,       0.05,    0.09895,    -0.0082
 0.3,                   2.0,        0.1,    0.06672,   -0.00563
 0.3,                   2.0,        0.2,    0.04009,   -0.00301
 0.3,                   2.0,        0.3,    0.02568,   -0.00179
 0.3,                   2.0,        0.4,    0.01694,   -0.00113
 0.3,                   2.0,        0.5,     0.0114,   -0.00075
 0.3,                   2.0,        0.6,    0.00778,   -0.00051
 0.3,                   2.0,        0.8,    0.00373,   -0.00025
 0.3,                   2.0,        1.0,    0.00183,   -0.00013
 0.3,                   2.0,        1.5,    0.00029,     -3e-05
 0.3,                   2.0,        2.0,      1e-05,     -1e-05
 0.3,                   2.0,        3.0,        0.0,       -0.0
 0.3,                   4.0,       0.05,    0.14781,   -0.01332
 0.3,                   4.0,        0.1,    0.10254,   -0.00891
 0.3,                   4.0,        0.2,    0.06273,   -0.00456
 0.3,                   4.0,        0.3,    0.04038,   -0.00264
 0.3,                   4.0,        0.4,    0.02667,   -0.00164
 0.3,                   4.0,        0.5,    0.01793,   -0.00108
 0.3,                   4.0,        0.6,    0.01221,   -0.00073
 0.3,                   4.0,        0.8,     0.0058,   -0.00036
 0.3,                   4.0,        1.0,     0.0028,    -0.0002
 0.3,                   4.0,        1.5,    0.00039,     -5e-05
 0.3,                   4.0,        2.0,        0.0,     -2e-05
