# created 04/22/25
# FLOPS-derived engine deck converted from turbofan_28_ENGDEK

Mach Number, Altitude (ft),   Throttle, Gross Thrust (lbf), Ram Drag (lbf), Fuel Flow (lb/h), NOx Rate (lb/h)
        0.3,           0.0,       21.0,             6173.4,         4945.6,           1022.8,          5.4835
        0.3,           0.0,       22.0,             7364.1,         5399.7,           1289.1,          6.7761
        0.3,           0.0,       24.0,             9594.3,         6156.5,           1828.9,           8.945
        0.3,           0.0,       26.0,            11702.0,         6790.9,           2370.2,           11.37
        0.3,           0.0,       30.0,            16141.2,         7956.0,           3586.7,          14.908
        0.3,           0.0,       34.0,            20374.2,         8914.9,           4845.9,          17.791
        0.3,           0.0,       38.0,            24482.0,         9748.6,           6136.4,          20.242
        0.3,           0.0,       42.0,            28498.9,        10491.9,           7487.2,          38.185
        0.3,           0.0,       46.0,            32440.2,        11158.6,           8946.6,          65.354
        0.3,           0.0,       48.0,            34385.6,        11467.0,           9722.6,          74.456
        0.3,           0.0,       50.0,            36314.3,        11758.7,          10541.1,          80.608
        0.3,        2000.0,       21.0,             5743.4,         4602.6,            931.5,          5.2941
        0.3,        2000.0,       22.0,             6850.3,         5024.9,           1175.0,          6.6001
        0.3,        2000.0,       24.0,             8923.2,         5728.8,           1668.1,          8.7823
        0.3,        2000.0,       26.0,            10882.3,         6318.8,           2161.9,          11.024
        0.3,        2000.0,       30.0,            15008.5,         7402.8,           3275.4,          14.742
        0.3,        2000.0,       34.0,            18942.1,         8294.0,           4433.1,          17.647
        0.3,        2000.0,       38.0,            22759.9,         9069.6,           5614.1,          20.098
        0.3,        2000.0,       42.0,            26492.4,         9759.9,           6860.5,          34.305
        0.3,        2000.0,       46.0,            30152.8,        10377.9,           8215.0,          63.856
        0.3,        2000.0,       48.0,            31959.4,        10663.8,           8934.3,          73.679
        0.3,        2000.0,       50.0,            33752.0,        10934.9,           9687.3,          80.217
        0.3,        5000.0,       21.0,             5137.9,         4117.3,            832.0,          5.0092
        0.3,        5000.0,       22.0,             6128.4,         4495.5,           1046.5,          5.9682
        0.3,        5000.0,       24.0,             7983.1,         5125.5,           1481.4,          8.1293
        0.3,        5000.0,       26.0,             9735.9,         5653.8,           1917.6,          9.9046
        0.3,        5000.0,       30.0,            13427.5,         6623.9,           2899.2,          13.942
        0.3,        5000.0,       34.0,            16946.8,         7421.7,           3920.4,          16.816
        0.3,        5000.0,       38.0,            20362.5,         8115.9,           4962.2,          19.238
        0.3,        5000.0,       42.0,            23701.7,         8733.8,           6061.4,          23.521
        0.3,        5000.0,       46.0,            26976.2,         9286.8,           7256.0,           52.53
        0.3,        5000.0,       48.0,            28592.9,         9543.0,           7890.1,          64.754
        0.3,        5000.0,       50.0,            30196.6,         9785.7,           8554.4,          74.212
        0.3,       10000.0,       21.0,             4243.8,         3400.8,            687.6,          7.8677
        0.3,       10000.0,       22.0,             5062.5,         3713.6,            860.4,           4.908
        0.3,       10000.0,       24.0,             6595.3,         4234.8,           1211.0,          6.9375
        0.3,       10000.0,       26.0,             8043.8,         4671.6,           1563.1,          8.6667
        0.3,       10000.0,       30.0,            11094.2,         5473.9,           2354.8,           12.45
