# created 04/22/25
# GASP_TS-derived engine deck converted from MAPS_1120hp.eng
# t4max: 50.0
# t4cruise: 46.67
# t4climb: 48.33
# t4flight_idle: 20.0
# xsfc: 0.0
# cexp: 0.0
# sls_horsepower: 1120.0
# freeturbine_rpm: 24539.0
# propeller_rpm: 1210.0
# gearbox_ratio: 0.049308
# torque_limit: 4861.4
# sls_corrected_airflow: 7.9568

Mach Number, Altitude (ft),   Throttle, Shaft Power Corrected (hp), Tailpipe Thrust (lbf), Fuel Flow (lb/h)
        0.1,        1500.0,       26.0,                    265.762,               30.9948,          268.479
       0.15,        1500.0,       26.0,                    263.125,               19.9114,            264.5
        0.2,        1500.0,       26.0,                    259.498,               8.91641,          259.045
       0.25,        1500.0,       26.0,                    254.923,              -1.90443,          252.197
        0.3,        1500.0,       26.0,                    249.426,              -12.4612,           244.01
       0.35,        1500.0,       26.0,                    243.144,              -22.6961,          234.774
        0.4,        1500.0,       26.0,                    236.162,              -32.5454,          224.621
       0.45,        1500.0,       26.0,                    228.558,              -41.9504,           213.64
        0.5,        1500.0,       26.0,                    220.412,              -50.8509,           201.93
       0.55,        1500.0,       26.0,                    211.804,              -59.1871,          189.589
        0.6,        1500.0,       26.0,                    202.812,              -66.8989,          176.717
        0.0,        1500.0,       28.0,                    325.304,               58.7932,           298.13
       0.05,        1500.0,       28.0,                    324.641,               47.3391,          297.278
        0.1,        1500.0,       28.0,                    322.679,               35.7769,          294.664
       0.15,        1500.0,       28.0,                    319.472,               24.2058,          290.377
        0.2,        1500.0,       28.0,                    315.071,               12.7251,          284.504
       0.25,        1500.0,       28.0,                    309.529,               1.43399,          277.132
        0.3,        1500.0,       28.0,                    302.883,              -9.55444,          268.316
       0.35,        1500.0,       28.0,                    295.275,              -20.2397,          258.389
        0.4,        1500.0,       28.0,                    286.799,               -30.557,          247.472
       0.45,        1500.0,       28.0,                    277.549,              -40.4267,          235.613
        0.5,        1500.0,       28.0,                    267.618,              -49.7726,          222.879
       0.55,        1500.0,       28.0,                    257.099,              -58.5188,          209.336
        0.6,        1500.0,       28.0,                    246.087,              -66.5893,           195.05
        0.0,        1500.0,       30.0,                      382.8,                  64.5,            324.2
       0.05,        1500.0,       30.0,                    382.023,               52.6109,          323.306
        0.1,        1500.0,       30.0,                      379.7,                  40.6,            320.5
       0.15,        1500.0,       30.0,                    375.906,               28.5737,          315.891
        0.2,        1500.0,       30.0,                    370.714,               16.6383,          309.588
       0.25,        1500.0,       30.0,                      364.2,                   4.9,            301.7
        0.3,        1500.0,       30.0,                    356.436,              -6.51645,          292.313
       0.35,        1500.0,       30.0,                    347.497,              -17.6379,          281.708
        0.4,        1500.0,       30.0,                      337.5,                 -28.4,            270.0
       0.45,        1500.0,       30.0,                    326.588,              -38.7148,          257.241
        0.5,        1500.0,       30.0,                      314.9,                 -48.5,            243.5
       0.55,        1500.0,       30.0,                    302.572,              -57.6736,          228.844
        0.6,        1500.0,       30.0,                    289.743,              -66.1533,           213.34
        0.0,        1500.0,       32.0,                    440.296,                70.262,          350.244
       0.05,        1500.0,       32.0,                    439.429,               57.9853,           349.31
        0.1,        1500.0,       32.0,                    436.776,               45.5634,           346.31
       0.15,        1500.0,       32.0,                     432.42,                33.106,          341.371
        0.2,        1500.0,       32.0,                    426.444,               20.7228,          334.622
       0.25,        1500.0,       32.0,                    418.933,               8.52333,          326.187
        0.3,        1500.0,       32.0,                    409.962,              -3.36956,          316.183
       0.35,        1500.0,       32.0,                    399.654,              -14.9386,           304.83
        0.4,        1500.0,       32.0,                    388.146,              -26.1111,          292.281
       0.45,        1500.0,       32.0,                    375.601,              -36.8039,          278.673
        0.5,        1500.0,       32.0,                    362.176,              -46.9362,          264.144
       0.55,        1500.0,       32.0,                    348.026,              -56.4273,          248.834
        0.6,        1500.0,       32.0,                    333.308,              -65.1968,          232.884
        0.0,        1500.0,       34.0,                    497.685,                76.024,          376.172
       0.05,        1500.0,       34.0,                    496.712,               63.3885,          375.175
        0.1,        1500.0,       34.0,                    493.718,               50.5793,          371.971
       0.15,        1500.0,       34.0,                    488.796,               37.7103,          366.701
        0.2,        1500.0,       34.0,                    482.037,               24.8956,          359.508
       0.25,        1500.0,       34.0,                    473.532,               12.2494,           350.53
        0.3,        1500.0,       34.0,                    463.358,             -0.108171,          339.907
       0.35,        1500.0,       34.0,                      451.7,              -12.0977,          327.788
        0.4,        1500.0,       34.0,                    438.711,              -23.6495,          314.373
       0.45,        1500.0,       34.0,                    424.556,              -34.7127,          299.908
        0.5,        1500.0,       34.0,                    409.399,               -45.232,          284.626
       0.55,        1500.0,       34.0,                    393.401,              -55.1518,          268.761
        0.6,        1500.0,       34.0,                    376.725,              -64.4165,          252.546
        0.0,        1500.0,       36.0,                    554.972,               81.7704,           401.98
       0.05,        1500.0,       36.0,                    553.871,               68.7873,          400.888
        0.1,        1500.0,       36.0,                     550.52,               55.6094,          397.475
       0.15,        1500.0,       36.0,                    545.021,               42.3536,          391.889
        0.2,        1500.0,       36.0,                    537.479,               29.1368,          384.273
       0.25,        1500.0,       36.0,                    527.996,               16.0758,          374.772
        0.3,        1500.0,       36.0,                    516.659,                3.2878,          363.533
       0.35,        1500.0,       36.0,                    503.684,               -9.0929,          350.661
        0.4,        1500.0,       36.0,                    489.234,              -21.0112,          336.392
       0.45,        1500.0,       36.0,                    473.476,              -32.4655,          321.045
        0.5,        1500.0,       36.0,                    456.575,              -43.4408,          304.919
       0.55,        1500.0,       36.0,                    438.697,              -53.9222,           288.31
        0.6,        1500.0,       36.0,                    420.008,              -63.8949,          271.519
        0.0,        1500.0,       38.0,                    612.504,               87.5469,          427.669
       0.05,        1500.0,       38.0,                     611.34,               74.1775,          426.483
        0.1,        1500.0,       38.0,                    607.673,               60.6605,          422.908
       0.15,        1500.0,       38.0,                    601.624,               47.0864,          417.069
        0.2,        1500.0,       38.0,                    593.309,               33.5452,           409.09
       0.25,        1500.0,       38.0,                     582.85,               20.1273,          399.095
        0.3,        1500.0,       38.0,                     570.35,               6.91055,           387.19
       0.35,        1500.0,       38.0,                    556.012,              -5.91186,          373.633
        0.4,        1500.0,       38.0,                    540.021,              -18.2638,          358.631
       0.45,        1500.0,       38.0,                    522.582,              -30.1225,            342.4
        0.5,        1500.0,       38.0,                    503.893,              -41.4518,          325.156
       0.55,        1500.0,       38.0,                    484.154,              -52.2156,           307.11
        0.6,        1500.0,       38.0,                    463.564,              -62.3778,          288.478
        0.0,        1500.0,       40.0,                      669.9,                  93.3,            453.3
       0.05,        1500.0,       40.0,                    668.543,               79.6556,          452.059
        0.1,        1500.0,       40.0,                      664.5,                  65.8,            448.3
       0.15,        1500.0,       40.0,                    657.886,               51.8466,          442.152
        0.2,        1500.0,       40.0,                    648.815,               37.9089,          433.743
       0.25,        1500.0,       40.0,                      637.4,                  24.1,            423.2
        0.3,        1500.0,       40.0,                    623.736,               10.5323,          410.616
       0.35,        1500.0,       40.0,                    608.069,                -2.665,          396.385
        0.4,        1500.0,       40.0,                      590.6,                 -15.4,            380.7
       0.45,        1500.0,       40.0,                    571.541,              -27.6033,           363.69
        0.5,        1500.0,       40.0,                      551.1,                 -39.2,            345.5
       0.55,        1500.0,       40.0,                    529.487,               -50.115,          326.276
        0.6,        1500.0,       40.0,                     506.91,              -60.2733,          306.162
        0.0,        1500.0,       42.0,                    727.216,               99.1736,          479.057
       0.05,        1500.0,       42.0,                    725.815,               85.1583,          477.737
        0.1,        1500.0,       42.0,                    721.441,               70.9513,          473.734
       0.15,        1500.0,       42.0,                    714.241,               56.6536,          467.206
        0.2,        1500.0,       42.0,                    704.358,               42.3663,          458.311
       0.25,        1500.0,       42.0,                    691.938,               28.1907,          447.207
        0.3,        1500.0,       42.0,                    677.115,               14.2141,          434.032
       0.35,        1500.0,       42.0,                    660.083,              0.655568,          419.098
        0.4,        1500.0,       42.0,                     641.08,              -12.4096,          402.615
       0.45,        1500.0,       42.0,                    620.397,              -24.9745,          384.766
        0.5,        1500.0,       42.0,                     598.31,              -37.0152,          365.743
       0.55,        1500.0,       42.0,                    575.098,              -48.5079,          345.734
        0.6,        1500.0,       42.0,                    551.036,              -59.4285,          324.931
        0.0,        1500.0,       44.0,                    784.802,               105.068,          504.794
       0.05,        1500.0,       44.0,                    783.261,                90.711,          503.448
        0.1,        1500.0,       44.0,                    778.536,               76.1549,          499.281
       0.15,        1500.0,       44.0,                    770.773,               61.5104,          492.455
        0.2,        1500.0,       44.0,                    760.116,               46.8885,          483.133
       0.25,        1500.0,       44.0,                    746.711,                  32.4,          471.478
        0.3,        1500.0,       44.0,                    730.682,               18.1654,          457.628
       0.35,        1500.0,       44.0,                    712.314,               4.21555,          441.917
        0.4,        1500.0,       44.0,                    691.847,              -9.32866,          424.582
       0.45,        1500.0,       44.0,                    669.533,              -22.3054,          405.849
        0.5,        1500.0,       44.0,                    645.622,              -34.5631,          385.947
       0.55,        1500.0,       44.0,                    620.362,              -45.9502,          365.103
        0.6,        1500.0,       44.0,                    594.003,              -56.3151,          343.547
        0.0,        1500.0,       46.0,                    841.998,               110.926,          530.406
       0.05,        1500.0,       46.0,                    840.365,               96.3398,          528.958
        0.1,        1500.0,       46.0,                    835.319,               81.4937,          524.581
       0.15,        1500.0,       46.0,                    827.013,               66.5123,           517.44
        0.2,        1500.0,       46.0,                      815.6,               51.5202,          507.701
       0.25,        1500.0,       46.0,                    801.233,               36.6422,          495.528
        0.3,        1500.0,       46.0,                    784.045,               22.0047,          481.058
